#           x             T           U_x           U_y           U_z
            0           485             0             0             0
   0.00217143           510             0             0             0
   0.00434286           510             0             0             0
   0.00651429           510             0             0             0
   0.00868571           510             0             0             0
    0.0108571           510             0             0             0
    0.0130286           510             0             0             0
       0.0152           510             0             0             0
    0.0173714           510             0             0             0
    0.0195429           510             0             0             0
    0.0217143           510             0             0             0
    0.0238857           510             0             0             0
    0.0260571           510             0             0             0
    0.0282286           510             0             0             0
       0.0304           510             0             0             0
    0.0325714           510             0             0             0
    0.0347429           510             0             0             0
    0.0369143           510             0             0             0
    0.0390857           510             0             0             0
    0.0412571           510             0             0             0
    0.0434286           510             0             0             0
       0.0456           510             0             0             0
    0.0477714           510             0             0             0
    0.0499429           510             0             0             0
    0.0521143           510             0             0             0
    0.0542857           510             0             0             0
    0.0564571           510             0             0             0
    0.0586286           510             0             0             0
       0.0608           510             0             0             0
    0.0629714           510             0             0             0
    0.0651429           510             0             0             0
    0.0673143           510             0             0             0
    0.0694857           510             0             0             0
    0.0716571           510             0             0             0
    0.0738286           510             0             0             0
        0.076           510             0             0             0
